n,grp,estimate,p.value,mntc_distinv,mntc_tier2
5,x15423y41325,-0.4999999999999999,0.45,0.17500000000000004,"(-0.001,0.5]"
5,x15423y41352,-0.7999999999999998,0.13333333333333333,0.09999999999999998,"(-0.001,0.5]"
5,x15423y41523,-0.29999999999999993,0.6833333333333333,0.32499999999999996,"(-0.001,0.5]"
5,x15423y41532,-0.3999999999999999,0.5166666666666667,0.19999999999999996,"(-0.001,0.5]"
5,x15423y42135,-0.5999999999999999,0.35,0.050000000000000044,"(-0.001,0.5]"
5,x15423y42153,-0.7999999999999998,0.13333333333333333,0.09999999999999998,"(-0.001,0.5]"
5,x15423y42315,-0.19999999999999996,0.7833333333333333,0.25,"(-0.001,0.5]"
5,x15423y42351,-0.5999999999999999,0.35,0.1499999999999999,"(-0.001,0.5]"
5,x15423y42513,0,1,0.3999999999999999,"(-0.001,0.5]"
5,x15423y42531,-0.19999999999999996,0.7833333333333333,0.25,"(-0.001,0.5]"
5,x15423y43125,-0.29999999999999993,0.6833333333333333,0.2250000000000001,"(-0.001,0.5]"
5,x15423y43152,-0.5999999999999999,0.35,0.1499999999999999,"(-0.001,0.5]"
5,x15423y43215,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x15423y43251,-0.4999999999999999,0.45,0.17500000000000004,"(-0.001,0.5]"
5,x15423y43512,0.19999999999999996,0.7833333333333333,0.44999999999999996,"(-0.001,0.5]"
5,x15423y43521,0.09999999999999998,0.95,0.42500000000000004,"(-0.001,0.5]"
5,x15423y45123,0.09999999999999998,0.95,0.625,"(0.5,1]"
5,x15423y45132,0,1,0.5,"(-0.001,0.5]"
5,x15423y45213,0.29999999999999993,0.6833333333333333,0.675,"(0.5,1]"
5,x15423y45231,0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15423y45312,0.3999999999999999,0.5166666666666667,0.7,"(0.5,1]"
5,x15423y45321,0.29999999999999993,0.6833333333333333,0.675,"(0.5,1]"
5,x15423y51234,-0.8999999999999998,0.08333333333333333,0.07499999999999996,"(-0.001,0.5]"
5,x15423y51243,-0.9999999999999998,0.016666666666666666,0.09999999999999998,"(-0.001,0.5]"
5,x15423y51324,-0.6999999999999998,0.23333333333333334,0.2250000000000001,"(-0.001,0.5]"
5,x15423y51342,-0.8999999999999998,0.08333333333333333,0.125,"(-0.001,0.5]"
5,x15423y51423,-0.5999999999999999,0.35,0.3999999999999999,"(-0.001,0.5]"
5,x15423y51432,-0.6999999999999998,0.23333333333333334,0.2749999999999999,"(-0.001,0.5]"
5,x15423y52134,-0.7999999999999998,0.13333333333333333,0.09999999999999998,"(-0.001,0.5]"
5,x15423y52143,-0.8999999999999998,0.08333333333333333,0.125,"(-0.001,0.5]"
5,x15423y52314,-0.3999999999999999,0.5166666666666667,0.30000000000000004,"(-0.001,0.5]"
5,x15423y52341,-0.6999999999999998,0.23333333333333334,0.17500000000000004,"(-0.001,0.5]"
5,x15423y52413,-0.29999999999999993,0.6833333333333333,0.4750000000000001,"(-0.001,0.5]"
5,x15423y52431,-0.4999999999999999,0.45,0.32499999999999996,"(-0.001,0.5]"
5,x15423y53124,-0.4999999999999999,0.45,0.2749999999999999,"(-0.001,0.5]"
5,x15423y53142,-0.6999999999999998,0.23333333333333334,0.17500000000000004,"(-0.001,0.5]"
5,x15423y53214,-0.29999999999999993,0.6833333333333333,0.32499999999999996,"(-0.001,0.5]"
5,x15423y53241,-0.5999999999999999,0.35,0.19999999999999996,"(-0.001,0.5]"
5,x15423y53412,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15423y53421,-0.19999999999999996,0.7833333333333333,0.5,"(-0.001,0.5]"
5,x15423y54123,-0.29999999999999993,0.6833333333333333,0.4750000000000001,"(-0.001,0.5]"
5,x15423y54132,-0.3999999999999999,0.5166666666666667,0.3500000000000001,"(-0.001,0.5]"
5,x15423y54213,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15423y54231,-0.29999999999999993,0.6833333333333333,0.375,"(-0.001,0.5]"
5,x15423y54312,0,1,0.55,"(0.5,1]"
5,x15423y54321,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15432y12345,0,1,0.30000000000000004,"(-0.001,0.5]"
5,x15432y12354,0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x15432y12435,0.09999999999999998,0.95,0.4750000000000001,"(-0.001,0.5]"
5,x15432y12453,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x15432y12534,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x15432y12543,0.3999999999999999,0.5166666666666667,0.3999999999999999,"(-0.001,0.5]"
5,x15432y13245,0.09999999999999998,0.95,0.32499999999999996,"(-0.001,0.5]"
5,x15432y13254,0.19999999999999996,0.7833333333333333,0.30000000000000004,"(-0.001,0.5]"
5,x15432y13425,0.29999999999999993,0.6833333333333333,0.5249999999999999,"(0.5,1]"
5,x15432y13452,0.5999999999999999,0.35,0.6000000000000001,"(0.5,1]"
5,x15432y13524,0.4999999999999999,0.45,0.4750000000000001,"(-0.001,0.5]"
5,x15432y13542,0.6999999999999998,0.23333333333333334,0.575,"(0.5,1]"
5,x15432y14235,0.29999999999999993,0.6833333333333333,0.5249999999999999,"(0.5,1]"
5,x15432y14253,0.4999999999999999,0.45,0.4750000000000001,"(-0.001,0.5]"
5,x15432y14325,0.3999999999999999,0.5166666666666667,0.55,"(0.5,1]"
5,x15432y14352,0.6999999999999998,0.23333333333333334,0.625,"(0.5,1]"
5,x15432y14523,0.7999999999999998,0.13333333333333333,0.6499999999999999,"(0.5,1]"
